timestamp,hostname,processor,cpu_count,power_method,board_size,num_positions,iterations,trial_num,total_latency_ms,total_power_mw,total_energy_uj,tree_size,selection_latency_ms,selection_power_mw,selection_energy_uj,selection_percent,expansion_latency_ms,expansion_power_mw,expansion_energy_uj,expansion_percent,simulation_latency_ms,simulation_power_mw,simulation_energy_uj,simulation_percent,backpropagation_latency_ms,backpropagation_power_mw,backpropagation_energy_uj,backpropagation_percent
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,2,4,200,1,0.150098,300000.000000,45029.400000,65,0.027216,335242.221875,9123.952311,20.262212,0.056593,335242.221875,18972.363063,42.133280,0.046899,335242.221875,15722.524964,34.916132,0.003611,335242.221875,1210.559663,2.688376
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,2,4,200,2,0.099610,300000.000000,29883.000000,65,0.025746,351688.831352,9054.580652,30.300106,0.019161,351688.831352,6738.709698,22.550312,0.036540,351688.831352,12850.709898,43.003413,0.003523,351688.831352,1238.999753,4.146169
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,2,4,200,3,0.102176,300000.000000,30652.800000,65,0.026875,351084.080679,9435.384668,30.781477,0.019038,351084.080679,6683.938728,21.805312,0.037700,351084.080679,13235.869842,43.179970,0.003696,351084.080679,1297.606762,4.233241
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,2,4,200,4,0.096226,300000.000000,28867.800000,65,0.025623,351270.975043,9000.616194,31.178740,0.017354,351270.975043,6095.956501,21.116803,0.035697,351270.975043,12539.319996,43.437047,0.003507,351270.975043,1231.907309,4.267410
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,2,4,200,5,0.097637,300000.000000,29291.100000,65,0.025692,349715.247681,8984.884143,30.674451,0.018552,349715.247681,6487.917275,22.149790,0.036003,349715.247681,12590.798062,42.985064,0.003510,349715.247681,1227.500519,4.190695
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,3,9,500,1,0.935424,300000.000000,280627.200000,500,0.084753,312745.541635,26506.122890,9.445315,0.594938,312745.541635,186064.207049,66.302984,0.207415,312745.541635,64868.116518,23.115406,0.010196,312745.541635,3188.753543,1.136295
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,3,9,500,2,0.553801,300000.000000,166140.300000,500,0.083058,321920.552771,26738.077272,16.093673,0.226245,321920.552771,72832.915462,43.838199,0.198058,321920.552771,63758.940841,38.376565,0.008730,321920.552771,2810.366426,1.691562
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,3,9,500,3,0.509224,300000.000000,152767.200000,500,0.077888,322329.711972,25105.616606,16.433905,0.211185,322329.711972,68071.200223,44.558780,0.176085,322329.711972,56757.427333,37.152888,0.008789,322329.711972,2832.955839,1.854427
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,3,9,500,4,0.485074,300000.000000,145522.200000,500,0.078100,323468.925047,25262.923046,17.360185,0.195012,323468.925047,63080.322011,43.347559,0.167697,323468.925047,54244.768324,37.275940,0.009071,323468.925047,2934.186619,2.016315
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,3,9,500,5,0.515579,300000.000000,154673.700000,500,0.077500,322108.702579,24963.424450,16.139411,0.213270,322108.702579,68696.122999,44.413577,0.180614,322108.702579,58177.341208,37.612950,0.008807,322108.702579,2836.811344,1.834062
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,5,25,1000,1,2.281968,300000.000000,684590.400000,1000,0.259537,309770.252770,80396.842093,11.743788,1.142592,309770.252770,353941.012653,51.701136,0.789625,309770.252770,244602.335843,35.729735,0.018240,309770.252770,5650.209411,0.825342
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,5,25,1000,2,1.716057,300000.000000,514817.100000,1000,0.243915,312773.151006,76290.063128,14.818867,0.580232,312773.151006,181480.990954,35.251547,0.804939,312773.151006,251763.307397,48.903447,0.016890,312773.151006,5282.738520,1.026139
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,5,25,1000,3,1.648053,300000.000000,494415.900000,1000,0.247816,314332.570203,77896.640217,15.755286,0.528777,314332.570203,166211.833474,33.617817,0.779316,314332.570203,244964.401280,49.546222,0.016998,314332.570203,5343.025028,1.080674
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,5,25,1000,4,1.646121,300000.000000,493836.300000,1000,0.244817,313301.785524,76701.603227,15.531787,0.548855,313301.785524,171957.251494,34.820699,0.766129,313301.785524,240029.583642,48.605091,0.016431,313301.785524,5147.861638,1.042423
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,5,25,1000,5,1.575604,300000.000000,472681.200000,1000,0.245232,313826.370829,76960.268571,16.281644,0.489760,313826.370829,153699.603377,32.516547,0.754847,313826.370829,236890.894541,50.116420,0.016348,313826.370829,5130.433510,1.085390
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,9,81,5000,1,49.657894,300000.000000,14897368.200000,5000,4.248882,302427.304339,1284977.929714,8.625536,9.933619,302427.304339,3004197.616499,20.165962,34.936392,302427.304339,10565718.855884,70.923392,0.140443,302427.304339,42473.797903,0.285109
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,9,81,5000,2,45.890463,300000.000000,13767138.900000,5000,4.136681,302753.811384,1252395.939230,9.096995,5.355208,302753.811384,1621309.632754,11.776664,35.848348,302753.811384,10853223.988819,78.834274,0.132812,302753.811384,40209.339198,0.292068
2025-11-13 22:03:22,smc4,Intel(R) Xeon(R) Platinum 8462Y+,4,TDP,9,81,5000,3,44.768206,300000.000000,13430461.800000,5000,3.983290,302665.455746,1205604.283218,8.976641,5.175639,302665.455746,1566487.136712,11.663688,35.084876,302665.455746,10618979.984332,79.066380,0.130145,302665.455746,39390.395738,0.293291
